Category: All categories

Month,candy: (United States)
2004-01,35
2004-02,33
2004-03,32
2004-04,33
2004-05,27
2004-06,29
2004-07,27
2004-08,29
2004-09,31
2004-10,36
2004-11,36
2004-12,53
2005-01,32
2005-02,46
2005-03,43
2005-04,33
2005-05,31
2005-06,29
2005-07,28
2005-08,28
2005-09,27
2005-10,36
2005-11,39
2005-12,51
2006-01,34
2006-02,34
2006-03,32
2006-04,33
2006-05,30
2006-06,30
2006-07,30
2006-08,29
2006-09,31
2006-10,39
2006-11,38
2006-12,51
2007-01,32
2007-02,35
2007-03,32
2007-04,34
2007-05,34
2007-06,32
2007-07,30
2007-08,31
2007-09,34
2007-10,41
2007-11,41
2007-12,52
2008-01,33
2008-02,37
2008-03,35
2008-04,35
2008-05,37
2008-06,31
2008-07,30
2008-08,30
2008-09,30
2008-10,40
2008-11,37
2008-12,51
2009-01,31
2009-02,32
2009-03,32
2009-04,34
2009-05,29
2009-06,31
2009-07,29
2009-08,29
2009-09,29
2009-10,39
2009-11,36
2009-12,47
2010-01,32
2010-02,32
2010-03,30
2010-04,30
2010-05,31
2010-06,28
2010-07,28
2010-08,27
2010-09,28
2010-10,37
2010-11,36
2010-12,48
2011-01,32
2011-02,36
2011-03,32
2011-04,35
2011-05,32
2011-06,31
2011-07,31
2011-08,31
2011-09,34
2011-10,42
2011-11,44
2011-12,55
2012-01,37
2012-02,39
2012-03,34
2012-04,35
2012-05,34
2012-06,35
2012-07,32
2012-08,34
2012-09,36
2012-10,51
2012-11,45
2012-12,57
2013-01,39
2013-02,47
2013-03,50
2013-04,58
2013-05,75
2013-06,91
2013-07,100
2013-08,92
2013-09,84
2013-10,92
2013-11,90
2013-12,93
2014-01,79
2014-02,71
2014-03,63
2014-04,62
2014-05,57
2014-06,53
2014-07,54
2014-08,51
2014-09,51
2014-10,61
2014-11,62
2014-12,75
2015-01,52
2015-02,51
2015-03,50
2015-04,47
2015-05,44
2015-06,44
2015-07,44
2015-08,45
2015-09,48
2015-10,61
2015-11,58
2015-12,65
2016-01,48
2016-02,52
2016-03,47
2016-04,45
2016-05,48
2016-06,45
2016-07,49
2016-08,44
2016-09,46
2016-10,60
2016-11,56
2016-12,67
2017-01,45
2017-02,46
2017-03,44
2017-04,44
2017-05,43
2017-06,45
2017-07,42
2017-08,43
2017-09,41
2017-10,59
2017-11,59
2017-12,69
2018-01,45
2018-02,48
2018-03,41
2018-04,42
2018-05,42
2018-06,40
2018-07,41
2018-08,41
2018-09,44
2018-10,61
2018-11,52
2018-12,73
2019-01,43
2019-02,48
2019-03,41
2019-04,43
2019-05,42
2019-06,40
2019-07,39
2019-08,40
2019-09,40
2019-10,55
2019-11,52
2019-12,65
2020-01,48
2020-02,47
2020-03,37
2020-04,41
2020-05,44
2020-06,39
2020-07,39
2020-08,40
2020-09,41
2020-10,59
2020-11,50
2020-12,67
2021-01,42
2021-02,49
2021-03,44
2021-04,42
2021-05,42
2021-06,40
2021-07,41
2021-08,44
2021-09,45
2021-10,59
2021-11,56
2021-12,66
2022-01,46
2022-02,51
2022-03,44
2022-04,48
2022-05,64
2022-06,47
2022-07,46
2022-08,46
2022-09,47
